week_num,starting_date,ending_date,dotcom_calls,dtv800_calls
1,1/2/2011,1/8/2011,29102,52000
2,1/9/2011,1/15/2011,26266,43152
3,1/16/2011,1/22/2011,25836,43312
4,1/23/2011,1/29/2011,24860,44175
5,1/30/2011,2/5/2011,25803,51108
6,2/6/2011,2/12/2011,25277,45879
7,2/13/2011,2/19/2011,24125,44029
8,2/20/2011,2/26/2011,24984,42168
9,2/27/2011,3/5/2011,25669,45571
10,3/6/2011,3/12/2011,25906,43267
11,3/13/2011,3/19/2011,20746,40679
12,3/20/2011,3/26/2011,21877,40449
13,3/27/2011,4/2/2011,25631,41210
14,4/3/2011,4/9/2011,24369,39280
15,4/10/2011,4/16/2011,23052,37496
16,4/17/2011,4/23/2011,23451,36366
17,4/24/2011,4/30/2011,23881,36837
18,5/1/2011,5/7/2011,24612,39110
19,5/8/2011,5/14/2011,23429,35675
20,5/15/2011,5/21/2011,24942,37284
21,5/22/2011,5/28/2011,25353,37508
22,5/29/2011,6/4/2011,25340,36572
23,6/5/2011,6/11/2011,28492,39326
24,6/12/2011,6/18/2011,28936,39465
25,6/19/2011,6/25/2011,29681,38783
26,6/26/2011,7/2/2011,29970,40278
27,7/3/2011,7/9/2011,25157,38481
28,7/10/2011,7/16/2011,29096,42331
29,7/17/2011,7/23/2011,32070,43461
30,7/24/2011,7/30/2011,35653,48913
31,7/31/2011,8/6/2011,40790,60025
32,8/7/2011,8/13/2011,43039,52648
33,8/14/2011,8/20/2011,42849,53146
34,8/21/2011,8/27/2011,40174,48964
35,8/28/2011,9/3/2011,44300,47753
36,9/4/2011,9/10/2011,43026,47059
37,9/11/2011,9/17/2011,42508,49467
38,9/18/2011,9/24/2011,39014,45495
39,9/25/2011,10/1/2011,39006,45219
40,10/2/2011,10/8/2011,38709,43953
41,10/9/2011,10/15/2011,33687,39487
42,10/16/2011,10/22/2011,32496,38214
43,10/23/2011,10/29/2011,32814,36500
44,10/30/2011,11/5/2011,33331,38365
45,11/6/2011,11/12/2011,33475,38837
46,11/13/2011,11/19/2011,34422,38150
47,11/20/2011,11/26/2011,28119,29868
48,11/27/2011,12/3/2011,37448,39157
49,12/4/2011,12/10/2011,33337,37013
50,12/11/2011,12/17/2011,31526,34193
51,12/18/2011,12/24/2011,28008,30468
52,12/25/2011,12/31/2011,35045,32487
53,1/1/2012,1/7/2012,39243,38692
